pair_address,valuable_token_volume,token_symbol,token_address,underlying_token,website
0xF16b05880130A35a056472F5DDf39BCA31E1895E,9557122,Flare,0x6867d4a17f3ff5602024b7c2a33df2fd9aeafcfe,USDT,null
0x8e0301E3bDE2397449FeF72703E71284d0d149F1,8960408,SFM,0x42981d0bfbaf196529376ee702f2a9eb9092fcb5,WBNB,https://safemoon.net/
0xB51f9508B88F0868aE14E74C5D7d1F34E2f419c1,8683865,MOS,0xc9c8050639c4cc0df159e0e47020d6e392191407,USDT,null
0x352008bf4319c3B7B8794f1c2115B9Aa18259EBb,8062741,GHNY,0xa045e37a0d1dd3a45fefb8803d22457abc0a728a,WBNB,https://grizzly.fi/en
0x647bc907d520C3f63bE38d01DBd979f5606beC48,8044999,ELEPHANT,0xe283d0e3b8c102badf5e8166b73e02d96d92f688,BUSD,https://elephant.money/
0x2139C481d4f31dD03F924B6e87191E15A33Bf8B4,6139367,AFD,0x198271b868dae875bfea6e6e4045cdda5d6b9829,WBNB,null
0xc803790dD1a234b326Cd4E593b05337a0c84a05e,3637656,CBET,0xc212d39e35f22f259457be79fc2d822fa7122e6e,WBNB,https://www.cbet.money
0x2407A09D25F8b72c8838A56b4100Ce600fbFA4ed,3601303,ASS,0x7c63f96feafacd84e75a594c00fac3693386fbf0,WBNB,null
0x28415ff2C35b65B9E5c7de82126b4015ab9d031F,3241270,ADA,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,WBNB,https://cardano.org
0xD254a3C351DAd83F8B369554B420047A1ED60f1C,3047264,EGC,0xc001bbe2b87079294c63ece98bdd0a88d761434e,WBNB,https://evergrowegc.com/
0x04a6a9D17Ed7043E672a3f49D5cC43Cb58A0Bf74,2967385,LUCA,0x51e6ac1533032e72e92094867fd5921e3ea1bfa0,BUSD,null
0xef282E2654cD984b5Fc1EA008afD580b5cdb8aea,2835491,FA,0x5ad04ad0fdb383fe0e939690d8ce9fcbbe0e3ca8,USDT,null
0xe7987f07C01B6CA83971E8407D67CAfB3193619c,2616469,YOOSHI,0x02ff5065692783374947393723dba9599e59f591,WBNB,null
0xB7E73DaEe6A6Ca37A21f8E4bfba4DA448DFE4d92,2507538,BTT,0x352cb5e19b12fc216548a2677bd0fce83bae434b,BUSD,https://www.bittorrent.com/
0xED2eC734193626282e105A4A44bf39C1F6B44d78,2478735,FGD,0x0566b9a8ffb8908682796751eed00722da967be0,WBNB,null
0x84821bb588f049913Dc579Dc511E5e31EB22d5E4,2388844,EMP,0x3b248cefa87f836a4e6f6d6c9b42991b88dc1d58,WETH,null
0xfC84B031a5221CED00b6470744aF5e5dA5710dDC,2387995,GUARD,0xf606bd19b1e61574ed625d9ea96c841d4e247a32,BUSD,https://guardfdn.com/
0x051e5c7Af6690F5eb33893ba91c49FAfF72Ceebf,2372117,MFI,0xeb5bb9d14d27f75c787cf7475e7ed00d21dc7279,BUSD,https://metfi.io/
0x8e744Ec2795c8B836689d1b4EBE1489204357dAC,2151763,RACA,0x12bb890508c125661e03b09ec06e404bc9289040,BUSD,https://www.radiocaca.com/#/home
0x70c26e9805ec5Df3d4aB0b2a3dF86BBA2231B6c1,2104927,HAY,0x0782b6d8c4551b9760e74c0545a9bcd90bdc41e5,BUSD,https://helio.money/
0xCDA572E13BA703C8B72F0376F777D5Ac0CD403a6,2079741,LIT,0x6625eef2d2e10e913ce6d5ab72ac199851641d1e,USDT,null
0x25b98D16484145deF80045dAfd83042A4a682F21,2018515,NfD,0x17932655690e19fa85fdd3f051d795098e69773d,USDT,null
